Site,Treat,C.organic_perc,Bulk_Density_g_cm3,Soil_C_orgnaic_gcm3
MAF,BAU,5.73,0.675,0.0386775
BB,BAU,2.56,0.815,0.020864
BF,BAU,1.27,1.07,0.013589
CC,BAU,4.46,0.9,0.04014
DP,BAU,6.5,0.61,0.03965
DL,BAU,9.14,0.485,0.044329
EH,BAU,5.4,0.825,0.04455
HI,BAU,4.71,0.955,0.0449805
LN,BAU,3.59,0.755,0.0271045
DE,BAU,5.18,0.695,0.036001
PF,BAU,7.46,0.68,0.050728
CF,BAU,2.51,1.3,0.03263
RSPB,BAU,3.91,0.715,0.0279565
FE,BAU,8.71,0.65,0.056615
BW,BAU,7.86,0.91,0.071526
UP,BAU,1.98,1.21,0.023958
WE,BAU,6.43,0.7,0.04501
MAF,E-ES,4.94,0.685,0.033839
BB,E-ES,1.9,0.865,0.016435
BF,E-ES,2.45,0.81,0.019845
CC,E-ES,3.58,1.18,0.042244
DP,E-ES,6.37,0.65,0.041405
DL,E-ES,6.75,0.645,0.0435375
EH,E-ES,5.23,0.815,0.0426245
HI,E-ES,6.4,1.01,0.06464
LN,E-ES,2.95,0.775,0.0228625
DE,E-ES,6.38,0.67,0.042746
PF,E-ES,6.32,0.8,0.05056
CF,E-ES,3.05,1.355,0.0413275
RSPB,E-ES,3.93,0.65,0.025545
FE,E-ES,2.98,1.12,0.033376
BW,E-ES,7.73,0.935,0.0722755
UP,E-ES,2.33,0.85,0.019805
WE,E-ES,6.6,0.62,0.04092
MAF,M-ES,7.16,0.703333333,0.050358667
BB,M-ES,3.71,0.753333333,0.027948667
BF,M-ES,1.93,0.93,0.017949
CC,M-ES,5.74,0.923333333,0.052999333
DP,M-ES,9.89,0.83,0.082087
DL,M-ES,14.14,0.483333333,0.068343333
EH,M-ES,7.14,0.75,0.05355
HI,M-ES,8.09,1.046666667,0.084675333
LN,M-ES,6.28,0.733333333,0.046053333
DE,M-ES,10.02,0.673333333,0.067468
PF,M-ES,10.55,0.7,0.07385
CF,M-ES,4.95,1.083333333,0.053625
RSPB,M-ES,6.21,0.61,0.037881
FE,M-ES,8.74,0.68,0.059432
BW,M-ES,10.19,0.946666667,0.096465333
UP,M-ES,2.09,0.89,0.018601
WE,M-ES,8.47,0.553333333,0.046867333
