Site,Treat,Field_total_Area_ha,cropped_area_ha,Margin_m,Infield_m,ratio_FM_to_crop,Ratio_IFS_to_crop
BF,T1,8.66,8.66,0,0,0,0
BW,T1,17.1,17.1,0,0,0,0
CC,T1,15.46,15.46,0,0,0,0
CF,T1,9.55,9.55,0,0,0,0
DE,T1,11.95,11.95,0,0,0,0
DL,T1,10.9,10.9,0,0,0,0
DP,T1,7.68,7.68,0,0,0,0
EH,T1,13.46,13.46,0,0,0,0
FE,T1,11.28,11.28,0,0,0,0
HI,T1,9.49,9.49,0,0,0,0
LN,T1,8.32,8.32,0,0,0,0
MAF,T1,13.67,13.67,0,0,0,0
PF,T1,5.33,5.33,0,0,0,0
RSPB,T1,9.74,9.74,0,0,0,0
UP,T1,5.6,5.6,0,0,0,0
WE,T1,16.53,16.53,0,0,0,0
BF,T2,11.12,10.53,987,0,0.053255396,0
BW,T2,8.91,8.13,1295,0,0.087205387,0
CC,T2,8.35,7.99,608,0,0.043688623,0
CF,T2,9.03,8.38,1084,0,0.072026578,0
DE,T2,9.94,9.64,498,0,0.030060362,0
DL,T2,11.36,11,599,0,0.031637324,0
DP,T2,17.05,16.43,1030,0,0.036246334,0
EH,T2,12.42,11.9,866,0,0.041835749,0
FE,T2,11.82,11.46,598,0,0.03035533,0
HI,T2,9.75,9.35,660,0,0.040615385,0
LN,T2,9.85,9.22,1049,0,0.063898477,0
MAF,T2,12.5,12.04,767,0,0.036816,0
PF,T2,7.71,7.42,480,0,0.037354086,0
RSPB,T2,13.38,12.9,792,0,0.035515695,0
UP,T2,5.69,5.48,343,0,0.036168717,0
WE,T2,11.83,11.37,765,0,0.038799662,0
BF,T3,7.23,6.58,680,409,0.056431535,0.033941909
BW,T3,14.34,13.1,1238,823,0.051799163,0.034435146
CC,T3,20.94,19.03,1846,1344,0.052893983,0.038510029
CF,T3,9.53,8.55,782,859,0.049233998,0.054081847
DE,T3,7.85,7.25,535,460,0.04089172,0.035159236
DL,T3,8.51,7.63,903,564,0.063666275,0.039764982
DP,T3,14.19,12.88,982,1209,0.041522199,0.051120507
EH,T3,11.87,11.01,510,924,0.025779275,0.046705981
FE,T3,15.1,14.13,871,742,0.034609272,0.029483444
HI,T3,11.12,10.29,661,715,0.035665468,0.038579137
LN,T3,13.8,12.86,698,862,0.030347826,0.037478261
MAF,T3,7.62,6.93,557,586,0.043858268,0.046141732
PF,T3,7.54,6.86,522,618,0.041538462,0.049177719
RSPB,T3,22.12,20.56,948,1653,0.025714286,0.044837251
UP,T3,6.31,5.94,335,284,0.0318542,0.027004754
WE,T3,14.09,12.95,745,1155,0.031724627,0.049183818
